RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3A,Q3B,Q4,Q5A,Q5B,Q6A,Q6B,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q10A,Q10B,Q10C,Q11,Q11OTHER,Q12,Q12OTHER,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q27,Q28,Q28B_NIG,Q28C_NIG,Q29A,Q29B,Q29C,Q30A,Q30B,Q30C,Q30D,Q31A,Q31B,Q31C,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46A,Q46B,Q46C,Q46D,Q47A,Q47B,Q47C,Q47D,Q47E,Q48A,Q48B,Q48C,Q49,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q53,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q57,Q58,Q59A,Q59B,Q59C,Q59D,Q59E,Q59F,Q59G,Q59H,Q59I,Q59J,Q59K_NIG,Q60A,Q60B,Q60C,Q60D,Q60E,Q60F,Q60G,Q60H_NIG,Q60I_NIG,Q60J_NIG,Q61A,Q61B,Q61C,Q61D,Q61E,Q61F,Q62A,Q62B,Q63PT1,Q63PT1OTHER,Q63PT2,Q63PT2OTHER,Q63PT3,Q63PT3OTHER,Q64,Q65A,Q65B,Q65C,Q65D,Q65E,Q65F,Q65G,Q65H,Q65I,Q65J,Q65K,Q65L,Q65M,Q65N,Q65O,Q65P,Q65P_NIG,Q66A,Q66B,Q66C,Q66D,Q66E,Q67A,Q67B,Q67C,Q67D,Q67E,Q68A,Q68B,Q68C,Q68D,Q68E,Q68F,Q69A,Q69B,Q69C,Q69D,Q69E,Q69F,Q70A,Q70B,Q70C,Q71A,Q71B,Q71C,Q71D_NIG,Q72A,Q72B,Q72C,Q72D_NIG,Q73A,Q73B,Q73C,Q73D,Q73E,Q74,Q75A,Q75B,Q75C,Q76A,Q76B,Q77,Q77OTHER,Q78,Q78A1,Q79A_NIG,Q79B_NIG,Q79D_NIG,Q79E_NIG,Q80A_NIG,Q80B_NIG,Q80C_NIG,Q81A_NIG,Q81B_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q82D_NIG,Q82E_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q84,Q84OTHER,Q85A,Q85B,Q85C,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87,Q88A,Q88B,Q88C,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q91A,Q91B,Q92,Q93A,Q93B,Q93C,Q94,Q95A,Q95B,Q96,Q97,Q98A,Q98AOTHER,Q98A1_NIG,Q98B,Q99,Q99OTHER,Q100,ENDTIME,LENGTH,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,withinwt
NIG0001,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,2,1,11/4/2012,10:29:00,38,621, ,1,2,2,2,2,4,4,1,2,2,1,3,3,0,0,0,0,7,4, ,1, ,4,3,3,0,2,1,4,4,4,4,4,3,1,1,3,1,4,2,2,3,2,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,2,1,3,3,3,3,1,4,1,1,1,1,2,2,1,3,3,5,3,10,8,9,5,3,8,5,4,4,1,1,1,0,2,1,3,0,2,3,0,3,2,2,2,1,2,1,0,2,4,2,2,1,2,1,0,1,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,0,7,1,7,1,0,0,16, ,3, ,20, ,3,1,1,1,1,1,3,3,3,1,1,2,2,3,1,1,3,1,1,1,1,1,1,3,3,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,1,0,7,3,3,2,2,2,2,2,2,0,1,1,7,7,0,2,3,3,2,2,7, ,1,2,4,1,2,2,4,1,1,2,2,9,9,9,9,2,2,3,2,621, ,2,5,5,1,1,1,1,1,1,0,3,2,2,0,9997, ,1,1,0,0,3,1,4,2,0,2,3,2,0,5,5, ,5,4,638, ,999,11:18:00,49,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG30,27,1,1,621, ,7,1.233025
NIG0002,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,1,1,11/4/2012,10:40:00,33,621, ,2,4,5,3,3,4,4,1,2,2,2,2,2,0,0,0,0,7,4, ,2, ,3,3,2,0,1,0,2,4,1,3,1,1,2,1,1,2,3,1,1,3,3,1,0,0,1,3,3,3,0,0,0,0,0,0,0,2,2,2,3,3,1,1,2,2,1,1,1,3,3,3,1,1,2,6,5,10,5,9,5,5,9,2,2,2,1,1,1,1,1,0,0,0,2,2,1,1,1,1,2,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,2,2,3,2,3,3,3,0,0,7,0,7,0,0,0,3, ,13, ,20, ,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,2,1,1,0,0,1,1,0,0,0,7,0,0,3,4,3,2,2,5, ,1,0,2,2,1,1,1,1,1,2,1,2,2,1,3,1,1,2,1,621, ,0,3,4,1,1,1,1,1,0,0,2,0,0,0,9997, ,1,1,1,0,0,1,4,4,3,1,3,2,3,5,5, ,3,3,625, ,17,11:36:00,56,1,1, ,621, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG32,29,1,1,621, ,6,1.233025
NIG0003,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,2,1,11/4/2012,11:40:00,60,621, ,1,4,3,3,3,5,5,1,0,0,0,0,2,2,1,0,0,7,6, ,1, ,4,4,4,0,0,0,4,4,4,4,4,3,2,3,4,1,4,0,2,3,2,0,0,0,1,2,4,4,0,0,0,0,0,0,0,1,1,4,3,3,1,4,3,3,2,2,3,1,4,3,1,1,6,4,5,10,99,99,99,99,99,2,1,2,2,2,3,2,3,1,2,1,1,2,0,3,3,3,3,3,3,1,1,1,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,7,7,2,7,7,0,0,0,13, ,23, ,17, ,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,2,2,2,3,2,7,7,7,7,7,7,3,2,0,0,0,0,0,0,7,3,2,2,2,1,1,1,1,0,0,0,7,0,3,3,3,3,1,1,1, ,3,1,4,3,1,2,4,3,3,1,1,3,3,2,2,3,1,4,2,621, ,2,3,5,1,1,1,1,0,0,0,2,2,2,0,9997, ,1,1,0,0,0,1,4,2,0,1,3,2,3,5,0, ,5,9,9999, ,17,12:22:00,42,1,1, ,1, ,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG29,28,2,1,621, ,6,1.233025
NIG0004,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,9,1,11/4/2012,11:38:00,26,621, ,2,3,4,2,2,5,5,2,0,0,0,0,0,0,0,0,0,7,4, ,1, ,3,3,1,4,0,0,1,4,4,4,4,1,1,4,1,4,1,0,0,1,4,0,1,0,1,3,2,3,0,0,0,0,0,0,0,1,2,1,2,2,1,4,1,4,4,2,2,2,3,3,1,3,3,6,1,10,9,7,8,3,7,4,4,4,2,4,2,1,3,1,1,0,2,3,2,2,3,0,0,1,2,1,1,1,2,2,2,2,2,1,0,1,0,0,2,2,0,1,1,2,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,11, ,17, ,8, ,2,1,1,2,1,1,2,3,4,3,1,1,2,4,2,1,2,1,1,2,3,3,3,4,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,3,1,1,0,0,1,0,0,0,0,7,7,0,1,4,3,2,3,3, ,4,9,4,3,1,3,4,2,2,4,3,3,3,1,1,1,2,3,2,621, ,1,3,4,1,1,1,1,1,1,0,1,0,0,0,9997, ,0,0,0,4,4,1,4,4,1,5,3,1,0,7,1, ,2,4,9999, ,19,12:40:00,62,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG31,24,2,2,621, ,7,1.233025
NIG0005,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/4/2012,11:33:00,25,621, ,2,2,3,2,2,4,4,1,0,2,0,3,3,1,2,0,0,7,6, ,4, ,3,3,2,0,2,1,4,3,4,3,3,3,2,2,3,4,4,2,0,2,2,0,0,0,1,3,3,3,0,0,0,0,0,0,0,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,3,1,5,5,6,9,8,9,6,99,8,5,5,5,1,1,1,1,2,9,2,1,2,3,0,2,2,2,2,2,0,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,0,1,7,7,1,1,1,13, ,14, ,17, ,2,1,1,1,1,1,1,2,3,1,1,1,2,3,1,1,2,2,1,1,1,1,1,3,3,2,4,3,7,7,7,7,7,7,2,0,1,0,0,0,1,0,7,3,2,2,2,2,1,1,0,0,1,0,7,7,0,3,4,3,3,3,6, ,1,1,5,3,3,2,1,1,1,1,1,3,3,2,2,1,2,4,1,621, ,1,5,5,1,1,1,1,1,1,0,3,2,2,1,638, ,1,1,0,2,2,1,4,2,0,2,3,2,1,4,13, ,5,4,638, ,1,12:25:00,52,2,1, ,621, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG30,27,1,1,621, ,7,1.233025
NIG0006,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,5,1,11/4/2012,11:48:00,20,621, ,1,4,2,2,4,2,4,1,0,0,0,0,0,0,0,0,0,7,4, ,1, ,4,4,4,4,2,1,2,3,3,3,2,2,1,2,2,2,1,2,2,3,3,4,4,0,1,1,3,3,0,0,0,0,0,0,0,2,2,2,3,1,3,1,1,2,2,1,1,2,3,1,2,2,3,5,7,10,5,5,5,2,8,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,7,0,7,7,0,0,0,13, ,20, ,3, ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,2,2,2,0,0,1,1,0,0,0,7,0,0,3,3,3,2,2,4, ,1,1,3,2,1,1,2,1,2,2,1,2,2,4,2,2,1,2,1,621, ,0,3,4,1,1,1,1,1,0,0,1,0,0,0,9997, ,1,1,1,4,4,1,4,3,0,10,3,2,3,6,13, ,3,4,639, ,17,12:36:00,48,2,1, ,621, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG32,29,1,1,621, ,6,1.233025
NIG0007,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,9,1,11/4/2012,10:34:00,25,621, ,1,2,3,2,2,4,4,1,2,0,0,2,2,3,3,0,0,7,10,LACK OF EVIDENCE FROM THE VICTIM,3, ,4,4,3,0,2,1,4,4,4,4,4,4,2,3,4,1,4,2,2,3,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,1,1,3,2,1,3,2,3,2,2,3,1,3,2,1,1,7,6,4,10,99,99,99,99,99,2,2,2,1,3,3,1,1,1,1,1,1,2,2,3,3,3,3,3,3,0,0,0,2,2,0,2,1,1,0,1,1,0,2,1,3,2,2,1,2,2,2,2,2,2,2,0,0,1,0,7,0,0,0,13, ,16, ,14, ,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,7,7,7,7,7,7,1,0,0,0,1,0,1,0,7,1,2,1,2,1,1,1,1,0,0,0,7,7,2,3,3,3,2,2,0, ,3,9,4,3,1,2,4,4,3,2,3,3,3,2,2,3,2,2,2,621, ,3,2,4,1,1,1,0,0,0,0,3,3,3,0,9997, ,1,1,0,0,0,1,4,4,0,9,3,2,1,5,13, ,2,4,9999, ,1,11:20:00,46,2,1, ,621, ,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG29,28,2,1,621, ,6,1.233025
NIG0008,1,620,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,1,1,11/4/2012,10:31:00,30,621, ,2,4,3,3,4,5,5,1,1,0,0,2,2,0,0,0,0,7,7, ,1, ,1,1,0,0,1,0,1,4,4,4,4,4,1,4,4,1,4,2,0,1,4,0,0,0,1,3,2,3,0,0,0,0,0,0,0,1,1,1,3,4,1,4,1,1,1,2,2,1,4,1,1,3,4,2,2,10,6,6,6,0,4,3,2,4,2,4,2,1,2,0,2,1,2,0,3,3,3,9,0,9,3,1,1,1,2,2,0,0,0,0,0,0,0,0,3,3,0,1,1,1,2,2,2,9,2,1,1,0,0,2,0,0,0,1,0,11, ,16, ,17, ,2,1,1,1,1,1,3,3,3,2,1,1,1,4,2,2,2,1,1,3,3,3,3,3,3,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,1,1,1,1,0,1,1,1,0,0,0,7,0,0,2,4,3,2,2,4, ,2,9,4,3,1,2,1,1,1,3,1,2,2,9,9,4,4,2,3,621, ,2,1,3,0,1,1,0,1,1,0,1,0,0,0,9997, ,0,0,0,0,0,1,4,4,0,1,3,2,3,5,13, ,1,4,638, ,1,11:29:00,58,2,1, ,621, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG31,24,2,2,621, ,7,1.233025
NIG0009,1,620,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,6,1,11/4/2012,16:20:00,32,621, ,1,5,9,4,4,1,4,1,0,0,1,2,2,2,2,0,0,7,4, ,8, ,4,1,4,0,3,2,4,4,4,4,4,3,2,3,4,1,4,2,2,3,3,0,0,0,7,8,8,8,0,0,0,0,0,0,0,1,1,1,3,2,1,4,3,3,2,2,4,2,3,2,1,3,6,4,5,10,4,6,5,4,6,2,2,2,1,2,3,1,2,2,2,1,2,1,2,3,3,3,3,3,0,3,1,1,4,2,0,0,1,0,1,1,1,0,0,1,0,1,1,1,2,3,2,2,2,2,2,0,0,0,0,7,0,0,0,3, ,11, ,23, ,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,3,2,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,2,2,1,2,1,1,1,1,0,0,0,7,0,1,3,3,3,2,1,6, ,4,1,4,3,1,1,4,4,4,1,1,2,2,2,1,3,2,4,2,621, ,1,4,4,1,1,1,0,0,0,0,1,1,1,1,625, ,1,1,0,0,0,1,4,4,0,4,3,2,3,5,5, ,1,4,625, ,18,17:00:00,40,1,1, ,1, ,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG29,28,2,1,621, ,6,1.258361
NIG0010,1,620,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,1,1,11/4/2012,13:05:00,32,621, ,1,4,4,2,4,2,4,1,0,0,0,0,0,0,0,0,0,7,4, ,1, ,4,4,4,0,3,1,2,4,4,3,1,2,2,1,1,2,3,1,1,2,2,3,1,0,1,4,4,4,1,1,1,0,0,0,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,1,1,6,5,10,7,9,5,5,8,2,2,2,1,1,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,0,7,0,7,0,0,0,3, ,13, ,24, ,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,4,2,1,2,2,2,2,2,2,2,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,2,2,2,0,0,1,1,0,0,0,7,0,0,3,3,3,2,2,4, ,1,0,2,2,1,2,1,3,1,2,2,2,2,2,1,1,1,2,1,621, ,0,3,4,1,1,1,1,1,0,0,2,0,0,1,638, ,1,1,0,0,0,1,4,4,0,1,3,2,2,5,2, ,3,2,638, ,19,13:55:00,50,1,1, ,621, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG32,29,1,1,621, ,6,1.258361
