RESPNO,URBRUR,ZONE,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,NOCALL_1,NOCALL_1OTHER,NOCALL_2,NOCALL_2OTHER,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5,Q6,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q9,Q10A,Q10B,Q11A,Q11B,Q12A,Q12B,Q12C,Q12D,Q12E,Q13,Q14,Q15A,Q15B,Q15C,Q16,Q17,Q18,Q19A,Q19B,Q20A,Q20B,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q26F,Q27A,Q27B,Q27C,Q27D,Q27E,Q28A,Q28B,Q28C,Q29A,Q29B,Q29C,Q29D,Q29E,Q29F,Q29G,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q42B,Q42C,Q43,Q44,Q45A,Q45B,Q45C,Q45D,Q45E,Q46,Q47A,Q47B,Q48A,Q48B,Q48C,Q48D,Q48E,Q48F,Q49,Q50,Q51A,Q51B,Q51C,Q51D,Q52A,Q52B,Q52C,Q52D,Q52E,Q52F,Q52G,Q52H,Q52I,Q52J,Q52K,Q52L,Q52M_NIG,Q53A,Q53B,Q53C,Q53D,Q53E,Q53F,Q53G,Q53H,Q53I,Q53J,Q53K_NIG,Q53L_NIG,Q53M_NIG,Q54,Q55A,Q55B,Q55C,Q55D,Q55E,Q55F,Q55G,Q55H,Q55I,Q55J,Q55K,Q55L,Q56,Q57A,Q57B,Q58,Q58OTHER,Q59A,Q59B,Q59C_NIG,Q60PT1,Q60PT1OTHER,Q60PT2,Q60PT2OTHER,Q60PT3,Q60PT3OTHER,Q61A,Q61B,Q62,Q63A,Q63B,Q63C,Q63D,Q64,Q65A,Q65B,Q65C,Q66A,Q66B,Q66C,Q66D,Q66E,Q66F,Q66G,Q66H,Q66I,Q66J,Q66K,Q66L,Q66M,Q67A,Q67B,Q68A,Q68B,Q68C,Q68D,Q68E_NIG,Q69A,Q69B,Q69C,Q69D_NIG,Q69E_NIG,Q70A,Q70B,Q71A,Q71B,Q71BOTHER,Q72,Q73A,Q73B,Q73C,Q73D,Q73E,Q74A,Q74AOTHER,Q74B,Q74BOTHER,Q75A,Q75B,Q76,Q77,Q78,Q79A,Q79B,Q80A,Q80AOTHER,Q80B,Q81A,Q81B,Q81C,Q81D,Q81E,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q82D_NIG,Q82E_NIG,Q82F_NIG,Q82G_NIG,Q83A_NIG,Q83AOTHER_NIG,Q83B_NIG,Q83BOTHER_NIG,Q83C_NIG,Q83D1_NIG,Q83D1OTHER_NIG,Q83D2_NIG,Q83D2OTHER_NIG,Q84A_NIG,Q84B_NIG,Q84C_NIG,Q85A_NIG,Q85B_NIG,Q85C_NIG,Q86A_NIG,Q86B_NIG,Q86C_NIG,Q86D_NIG,Q86E_NIG,Q86F_NIG,Q86G_NIG,Q86H_NIG,Q87,Q87OTHER,Q88A,Q88B,Q89A,Q89B,Q89C,Q89D,Q89E,Q90A,Q90B,Q90BOTHER,Q91A,Q91B,Q91C,Q91D,Q92A,Q92B,Q93A,Q93B,Q94,Q95,Q96A,Q96B,Q97,Q98A,Q98AOTHER,Q98B,Q99,Q99OTHER,Q99B_NIG,Q99C_NIG,Q100,ENDTIME,LENGTH,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q116A1,Q116A1_OTHER,Q117,withinwt
NIG0001,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,2, ,9997, ,9997,9997,9997,9997,9997,2,1,5,1,12/12/2014,11:25:00,30,621, ,1,4,4,4,5,4,0,0,0,0,0,7,0,0,0,0,0,3,3,2,4,4,2,1,2,3,4,3,3,4,2,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,7,7,3,2,3,2,3,3,1,0,1,1,1,1,1,4,1,NATIONAL INDEPENDENCE,ACCOUNTABILITY,"""GOVERNMENT OF,BY AND FOR THE PEOPLE""",9,8,2,1,4,3,1,4,3,3,2,4,2,3,4,4,2,2,4,3,3,2,1,2,2,2,0,0,2,2,1,1,2,1,2,1,2,3,2,3,2,1,0,1,2,2,1,0,1,2,1,2,2,3,2,1,2,1,0,1,2,2,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8, ,0,0,0,3, ,23, ,13, ,3,0,1,1,1,1,1,2,3,2,2,2,1,2,3,4,3,2,2,3,4,3,2,3,1,1,3,2,2,3,2,0,0,1,0,0,4,4,2,1, ,0,7,7,7,7,7,2, ,5, ,1,2,3,1,2,9,3,1, ,2,2,4,2,3,2,2,1,2,3,2,3,2,2, ,3, ,3,2, ,13, ,3,4,4,1,1,1,3,3,3,2,2,3,3,3,621, ,1,3,2,1,1,3,4,1,638, ,1,1,0,1,4,4,2,2,5,0,4,1,6,2, ,4,638, ,4,638,8,12:30:00,65,1,1, ,1, ,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG031,28,1,2,621, ,621, ,6,.913421681240868
NIG0002,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,1,1,2,1,12/12/2014,11:24:00,39,621, ,1,2,4,4,3,3,0,0,0,0,0,7,3,0,0,0,0,4,3,4,3,4,3,2,3,3,2,1,1,1,0,0,9,9,4,2,0,0,0,0,0,0,0,1,2,3,2,1,3,3,3,3,3,3,0,0,0,0,0,1,1,1,1,MUTUAL UNDERSTANDING,A FREE AND FAIR GOVERNMENT,A GOVERNMENT THAT IS TRANSPARENT IN ALL THEIR DOINGS,10,8,8,3,1,1,4,1,4,1,1,4,1,2,2,4,4,4,1,1,2,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,3,3,3,1,1,2,1,1,2,1,1,2,1,1,2,1,0,2,2,1,2,3,2,2,1,2,2,2,1,2,1,3,0,2,0,3,0,3,0,4,0,3,0,7,7,7,4, ,0,0,0,23, ,1, ,16, ,1,1,1,1,1,2,1,1,3,6,1,1,1,1,1,1,1,3,3,3,1,1,2,2,2,2,2,2,1,2,2,0,1,0,1,1,3,3,2,1, ,0,7,7,7,7,7,9, ,4, ,1,1,1,1,2,3,3,1, ,1,3,5,3,3,5,1,2,2,1,2,2,3,6, ,2, ,3,8, ,2, ,4,4,5,1,1,1,3,1,3,2,3,2,3,3,621, ,0,1,5,4,4,4,5,1,625, ,1,1,1,1,4,4,1,1,2,2,5,3,7,1, ,6,625, ,4,625,2,12:31:00,67,1,1, ,1, ,8,1,1,0,0,0,0,0,0,1,1,2,1,2,1,NIG030,30,2,2,621, ,621, ,8,.913421681240868
NIG0003,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,5,1,12/12/2014,10:10:00,44,621, ,2,4,4,4,4,4,0,0,0,0,0,7,3,0,0,0,0,4,4,3,3,0,2,1,4,4,4,2,4,3,3,3,2,0,1,2,0,0,0,0,0,0,0,0,2,3,2,2,3,3,3,3,3,3,1,2,1,0,0,1,1,1,1,"""GOVERNMENT OF,FOR AND BY THE PEOPLE""", , ,2,9996,9996,3,4,1,4,3,4,3,2,4,1,3,3,2,2,2,1,1,2,1,1,2,0,1,0,0,0,0,0,1,3,0,3,1,1,3,3,0,3,1,1,0,1,1,0,1,1,1,3,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,0,2,0,2,0,2,0,2,0,7,7,7,7,7,4, ,0,0,0,9995,ABUSE OF OFFICE,4, ,24, ,3,9,5,1,3,1,1,4,2,1,5,3,3,1,2,1,3,3,3,2,2,3,1,3,1,2,4,3,3,3,2,0,0,0,0,0,2,4,4,3, ,0,7,7,7,7,7,17, ,3, ,3,3,1,4,2,3,3,1, ,1,2,3,9,5,4,9,9,2,1,1,2,2,1, ,2, ,1,2, ,10, ,1,4,1,1,1,1,3,2,2,2,2,2,3,3,621, ,1,3,4,4,1,3,3,0,9997, ,0,0,0,0,4,3,2,1,4,3,8,2,8,8, ,6,638, ,4,638,5,11:18:00,68,1,1, ,1, ,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG029,26,1,2,621, ,621, ,8,.913421681240868
NIG0004,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,7,1,12/12/2014,9:58:00,28,621, ,2,1,1,4,4,4,0,0,0,0,0,7,0,0,0,0,0,4,4,0,0,0,0,0,3,3,3,3,2,3,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,7,7,2,2,2,2,2,2,1,1,0,0,1,2,2,2,1,WHEN YOU SEE SOMETHING BAD YOU DON'T DO IT,GOVERNMENT WHERE LEADERS ARE ELECTED, ,12,3,9996,3,4,2,3,3,4,2,2,3,2,2,1,3,3,3,1,3,1,1,1,1,1,2,0,0,0,2,1,1,3,1,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,0,0,0,16, ,13, ,3, ,1,9,0,9,9,9,9,9,9,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,0,1,0,0,9,9,5,3, ,0,7,7,7,7,7,17, ,13, ,1,1,9,9,9,9,9,9999, ,9,9,9,9,5,9,1,1,2,1,2,2,2,2, ,1, ,3,2, ,5, ,1,4,1,9,9,9,3,2,2,2,1,2,1,3,621, ,2,2,1,1,1,1,1,0,9997, ,0,0,0,0,4,0,3,2,2,3,6,1,5,7, ,3,638, ,4,9999,99,11:06:00,68,1,1, ,1, ,1,1,1,0,0,0,0,0,1,1,1,1,1,2,1,NIG032,25,2,2,621, ,621, ,6,.913421681240868
NIG0005,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,1,2,2,1,12/12/2014,13:03:00,43,621, ,1,1,4,3,4,3,2,1,1,3,3,-1,1,1,2,2,0,4,4,3,4,4,2,1,4,3,4,2,3,4,2,2,3,3,1,3,0,0,0,0,0,0,0,0,0,1,1,2,3,2,3,2,3,9,1,2,2,0,0,1,4,3,1,GOVERNMENT BY THE PEOPLE,MAJORITY CARRIES THE VOTE,WORKING TOGETHER TO ACHIEVE AN AIM,2,7,11,3,2,1,3,4,4,3,2,2,2,2,1,2,2,3,3,3,1,2,1,2,1,2,1,1,1,9,1,1,1,1,1,3,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,3,7,7,3,0,3,0,7,7,7,7,7,7,7,7,7,3, ,9,9,9,3, ,14, ,26, ,2,9,0,9,9,9,9,3,1,6,3,3,3,2,4,4,3,3,2,3,3,4,3,4,3,2,3,3,3,3,2,1,2,0,1,1,2,2,2,7, ,0,7,7,7,7,7,3, ,11, ,2,2,3,3,3,9,9,6, ,2,3,3,4,5,4,9,9,9,9,9,9,9,1, ,1, ,3,6, ,3, ,2,4,3,1,1,1,3,0,0,0,2,2,1,2,621, ,2,2,4,4,3,4,3,1,621, ,1,1,1,1,4,4,1,1,3,2,7,1,7,1, ,6,621, ,4,621,2,14:12:00,69,2,1, ,1, ,4,1,3,0,0,0,0,0,0,2,1,1,1,2,1,NIG030,30,2,2,621, ,621, ,8,.913421681240868
NIG0006,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,1,2,6,1,12/12/2014,11:10:00,33,621, ,2,5,2,4,4,5,2,0,2,2,2,3,0,0,0,2,2,4,4,1,0,0,0,9,4,4,4,2,3,4,0,0,4,4,1,2,0,0,0,0,0,0,0,0,0,9,1,2,3,1,3,3,3,2,0,0,0,0,0,1,1,1,1,IT IS A GOVERNMENT FOR THE PEOPLE,IT IS A SYSTEM WHERE EVERYBODY HAS EQUAL RIGHT,IT IS A SYSTEM WHERE LEADERS ARE SELECTED,2,6,3,3,4,1,4,4,4,1,5,5,9,3,3,4,4,4,1,2,3,3,1,0,1,0,0,0,0,1,0,3,1,2,1,1,3,3,3,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,2,2,1,3,1,2,2,1,2,3,3,1,1,3,0,3,0,3,0,2,0,7,7,7,7,7,7,7,4, ,0,0,0,3, ,23, ,13, ,1,0,1,3,1,1,1,1,2,1,1,4,3,2,2,3,2,3,3,3,3,3,3,3,1,1,4,3,1,3,1,0,0,1,0,0,2,4,4,2, ,0,7,7,7,7,7,16, ,4, ,2,2,2,1,1,1,1,3, ,2,3,4,4,5,4,1,1,3,2,2,2,3,2, ,2, ,3,10, ,11, ,1,4,1,1,1,1,3,1,3,3,3,3,3,3,621, ,3,3,5,5,1,5,5,0,9997, ,1,1,0,1,4,0,3,2,2,1,5,1,8,1, ,4,638, ,4,638,99,12:20:00,70,2,1, ,1, ,1,1,1,0,0,0,0,0,0,3,1,1,1,1,1,NIG032,25,2,2,621, ,621, ,6,.913421681240868
NIG0007,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,2,3,1,12/12/2014,10:14:00,19,621, ,2,2,1,4,4,2,0,0,0,0,0,7,0,0,0,0,0,3,3,1,0,0,1,0,4,4,4,3,4,2,2,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,7,7,3,2,1,2,3,3,1,1,1,1,1,2,1,1,1,"""PEACE,UNITY/POWER SHARING""",VOTING/ELECTION,EQUALITY AND JUSTICE,4,3,6,3,3,4,2,2,3,3,4,3,4,3,2,4,5,5,4,3,2,3,2,1,2,2,2,0,1,2,2,3,2,3,2,2,2,1,2,1,2,1,0,1,2,2,3,2,1,0,1,2,3,2,3,3,2,1,2,3,2,3,2,1,2,3,3,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,0,0,0,23, ,3, ,4, ,2,0,0,1,1,1,1,2,3,1,3,2,3,4,4,3,2,3,2,3,4,3,3,4,1,1,2,1,2,3,2,1,0,0,1,1,9,9,2,5, ,0,7,7,7,7,7,6, ,11, ,1,2,3,2,2,2,3,4, ,1,1,3,1,4,3,2,3,1,0,1,2,3,2, ,3, ,2,4, ,2, ,3,4,4,2,1,1,3,3,3,2,1,2,3,3,621, ,2,2,3,2,1,3,4,1,638, ,1,1,0,1,4,0,2,2,5,0,1,7,2,5, ,6,638, ,0,638,7,11:20:00,66,2,1, ,1, ,5,1,4,0,0,0,0,0,0,1,1,1,1,1,1,NIG031,28,1,2,621, ,621, ,6,.913421681240868
NIG0008,1,4,620,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,1,2,4,1,12/12/2014,11:22:00,30,621, ,2,2,3,3,4,5,0,0,0,0,0,7,0,0,0,0,0,4,4,3,0,0,1,1,1,4,4,2,4,4,0,0,4,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,3,1,3,3,3,3,0,0,0,0,0,1,1,1,1,IS A SYSTEM WHERE LEADERS ARE BEEN SELECTED,IS A SYSTEM OF GOVERNMENT WITH EQUAL RIGHT,IS A GOVERNMENT OF FREEDOM,3,6,1,3,4,1,4,4,4,1,2,5,4,2,1,4,4,4,1,4,3,3,0,0,1,0,0,0,0,0,3,2,0,1,2,1,3,3,3,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,2,2,1,3,2,3,1,1,2,3,3,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,0,0,0,3, ,23, ,7, ,1,0,1,1,1,1,1,1,2,5,1,4,3,3,3,3,2,3,3,3,3,3,2,3,1,1,4,3,3,3,1,0,1,1,0,0,3,3,4,3, ,0,7,7,7,7,7,4, ,5, ,2,2,2,2,1,1,1,2, ,2,3,4,4,5,5,2,2,3,2,2,2,2,2, ,2, ,4,10, ,11, ,2,4,1,1,1,1,3,2,3,3,3,3,3,3,621, ,3,2,5,5,1,5,5,0,9997, ,1,1,1,1,4,0,3,2,2,1,1,7,8,5, ,3,638, ,4,638,99,12:28:00,66,2,1, ,1, ,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG029,26,1,2,621, ,621, ,8,.913421681240868
NIG0009,1,4,620,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,7,1,12/9/2014,15:12:00,23,621, ,1,2,4,3,2,4,0,0,0,0,1,7,3,0,0,0,0,4,4,2,3,3,3,1,3,3,3,1,1,4,2,2,3,3,1,3,0,0,0,0,1,0,0,0,1,3,2,1,3,3,3,1,9,3,2,0,0,9,0,1,1,1,1,IT IS A GOVERNMENT OF THE PEOPLE,IT IS A SYSTEM WHERE WE HAVE EQUAL CHANCES TO VOTE AND TO BE VOTED FOR, ,2,3,9996,3,1,1,3,1,4,1,1,4,1,2,1,4,3,1,1,2,1,3,1,0,2,0,2,1,1,1,1,2,1,1,0,1,3,3,3,0,2,1,1,1,1,1,1,0,2,0,0,2,0,2,3,3,3,3,3,3,3,2,2,3,3,3,1,3,0,3,0,4,0,4,0,3,0,3,0,7,7,7,4, ,0,0,0,24, ,13, ,3, ,1,1,1,3,2,2,3,3,3,6,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,3,2,3,1,1,1,1,1,1,3,3,1,0, ,0,7,7,7,7,7,16, ,3, ,1,2,2,3,2,2,2,2, ,3,3,4,1,5,5,1,1,1,1,1,3,3,1, ,1, ,2,2, ,5, ,3,4,1,1,9,1,3,2,2,2,3,2,2,3,621, ,2,3,4,4,1,3,3,0,9997, ,1,1,1,1,4,4,1,1,5,1,1,7,7,1, ,6,9999, ,3,9999,2,16:23:00,71,1,1, ,1, ,4,1,1,0,0,0,0,0,0,1,2,1,2,2,1,NIG030,30,2,2,621, ,621, ,8,.491342942278856
NIG0010,1,4,620,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1, ,9997, ,9997,9997,9997,9997,9997,2,1,2,1,12/9/2014,15:20:00,24,621, ,2,4,4,2,3,3,0,0,0,0,0,7,0,0,0,0,0,3,3,2,4,4,2,0,2,3,4,4,4,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,2,3,2,3,3,3,3,0,0,1,1,0,2,1,1,1,MUTUAL RESPECT,CIVIL LIBERTIES, ,10,1,9996,3,1,1,3,1,4,3,1,4,1,3,3,2,4,4,1,4,2,1,2,3,1,2,0,1,0,1,0,1,2,1,2,1,1,1,2,1,2,1,0,2,1,3,2,1,0,1,1,2,1,1,2,2,3,2,1,2,2,3,2,2,2,3,3,3,2,7,7,7,7,3,1,7,7,7,7,0,7,7,4, ,0,0,0,23, ,24, ,3, ,3,0,3,1,1,1,1,3,1,3,4,1,2,3,2,4,4,3,2,3,4,3,2,2,1,1,4,2,3,2,1,0,0,1,0,1,4,4,3,5, ,0,7,7,7,7,7,5, ,3, ,2,2,2,2,2,3,3,1, ,1,1,3,3,3,3,2,3,2,1,2,3,2,2, ,5, ,2,2, ,4, ,2,4,3,1,1,1,3,2,3,2,1,0,1,2,621, ,2,4,5,4,1,3,4,1,638, ,1,1,0,1,4,4,2,2,4,0,1,7,6,2, ,5,638, ,4,638,8,16:30:00,70,1,1, ,1, ,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG032,25,2,2,621, ,621, ,6,.491342942278856
NIG0011,1,4,620,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,1,1,12/9/2014,14:01:00,32,621, ,1,1,2,3,3,3,0,0,0,0,0,7,3,0,0,0,0,4,4,3,2,3,3,1,3,2,2,2,2,3,2,3,3,3,1,3,0,0,0,0,1,0,0,0,0,3,2,1,3,3,3,1,1,2,2,0,0,0,0,1,1,1,1,"GOVERNMENT OF THE PEOPLE, FOR THE PEOPLE, BY THE PEOPLE", , ,1,9996,9996,3,2,2,4,2,3,2,2,3,2,2,1,4,3,1,2,1,1,3,1,0,1,0,2,2,1,1,1,2,1,1,0,4,3,3,3,1,1,1,1,1,1,1,0,0,0,0,1,2,0,2,3,3,3,3,3,3,3,2,3,3,3,2,1,4,9,4,0,4,0,4,0,4,0,3,0,7,7,7,4, ,0,0,0,4, ,24, ,12, ,3,1,1,3,3,2,3,3,6,1,3,1,1,1,1,1,2,3,2,1,1,1,1,2,1,1,3,3,3,2,1,1,1,1,2,3,3,3,2,0, ,0,7,7,7,7,7,2, ,3, ,2,2,1,3,2,2,1,2, ,3,3,4,1,3,5,1,1,2,1,1,1,2,1, ,2, ,2,2, ,9, ,3,4,1,1,2,1,3,2,2,2,2,2,3,3,621, ,2,3,4,4,2,3,3,9,9997, ,1,1,1,1,4,4,1,1,5,1,1,7,7,1, ,6,9999, ,4,625,2,15:04:00,63,1,1, ,1, ,4,1,1,0,0,0,0,0,0,1,1,1,2,1,2,NIG029,26,1,2,621, ,621, ,8,.491342942278856
