V57,V58,V256B
1,5,566001
6,0,566001
1,0,566001
1,7,566001
6,0,566001
6,0,566001
6,0,566001
1,1,566001
6,0,566001
1,2,566001
6,0,566001
1,0,566004
1,0,566004
6,0,566004
6,0,566004
6,0,566004
6,0,566004
1,0,566004
6,0,566004
1,0,566004
1,4,566004
6,0,566004
6,0,566004
1,2,566004
6,0,566004
6,0,566004
1,1,566004
2,1,566004
1,2,566004
1,3,566004
6,0,566004
1,2,566004
1,2,566004
6,0,566004
6,0,566004
5,4,566004
1,3,566004
6,0,566004
1,2,566004
1,3,566004
6,0,566004
1,1,566004
1,2,566004
6,0,566004
1,2,566004
6,0,566004
6,0,566004
6,0,566004
6,0,566004
1,3,566004
1,3,566004
1,3,566004
6,0,566004
6,0,566004
5,6,566004
1,0,566004
1,2,566004
1,2,566004
5,4,566004
1,2,566004
1,4,566004
1,2,566004
1,1,566001
6,0,566004
6,0,566004
1,0,566004
6,0,566004
6,0,566004
6,0,566004
1,0,566004
1,0,566004
1,0,566004
1,2,566004
6,0,566004
1,2,566004
1,0,566004
1,4,566002
1,0,566002
6,0,566002
6,0,566002
1,1,566002
6,0,566002
5,0,566002
6,0,566002
1,0,566002
6,0,566002
6,0,566002
6,0,566002
6,0,566002
1,4,566002
6,0,566002
6,0,566002
6,0,566002
1,1,566002
1,3,566002
1,3,566002
6,0,566002
3,0,566002
1,2,566002
5,0,566002
6,0,566002
1,0,566002
6,0,566002
1,0,566002
1,0,566002
6,0,566002
1,5,566002
1,0,566002
1,2,566002
6,0,566002
1,3,566002
1,1,566002
1,3,566002
1,2,566002
1,2,566002
6,0,566002
6,0,566002
1,4,566002
6,0,566002
6,0,566002
1,3,566002
1,4,566002
6,0,566002
6,0,566002
6,0,566002
1,3,566002
1,1,566002
1,3,566002
6,0,566002
1,3,566002
6,0,566002
6,0,566002
6,0,566002
6,0,566002
6,0,566002
1,3,566002
6,0,566002
1,2,566002
6,0,566002
6,0,566002
1,3,566002
1,2,566002
1,2,566002
1,2,566002
1,8,566002
1,3,566002
6,0,566002
2,5,566002
1,3,566002
6,0,566003
6,0,566003
1,3,566003
6,0,566003
1,3,566003
1,1,566003
1,0,566003
1,4,566003
6,0,566003
1,2,566003
6,0,566003
1,2,566003
6,0,566003
1,3,566003
1,4,566003
2,0,566003
1,2,566003
1,1,566003
6,2,566003
1,4,566003
6,0,566003
6,0,566003
1,1,566003
1,4,566003
6,0,566003
1,2,566003
1,0,566003
1,0,566003
1,0,566003
1,1,566003
1,4,566003
1,5,566003
1,3,566003
1,3,566003
1,2,566003
1,2,566003
1,3,566003
1,2,566003
1,4,566003
1,1,566003
6,0,566003
1,4,566003
1,3,566003
5,1,566003
1,1,566003
1,4,566003
1,3,566003
1,3,566003
1,2,566003
1,3,566003
1,1,566003
1,3,566003
1,4,566003
1,2,566003
1,2,566003
1,3,566003
1,4,566003
1,2,566003
6,0,566003
1,3,566003
1,1,566003
1,2,566003
5,1,566003
1,4,566003
6,0,566003
1,0,566003
1,3,566003
6,1,566003
1,2,566003
1,3,566003
6,1,566003
1,3,566003
1,2,566003
6,0,566005
6,0,566005
6,0,566005
1,2,566005
6,0,566005
1,3,566005
6,0,566005
6,1,566005
6,1,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
1,0,566005
6,0,566005
1,5,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
1,3,566005
6,0,566005
6,0,566005
1,2,566005
1,1,566005
6,0,566005
6,0,566005
6,0,566005
1,0,566005
1,2,566005
6,0,566005
6,0,566005
1,0,566005
1,3,566005
1,1,566005
6,0,566005
1,4,566005
6,0,566005
6,0,566005
6,0,566005
1,2,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
1,0,566005
1,2,566007
6,0,566005
6,0,566005
6,0,566005
2,0,566005
6,0,566005
1,0,566005
6,0,566005
6,0,566005
1,5,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
1,4,566005
6,0,566005
6,0,566005
6,0,566005
1,7,566005
6,0,566005
1,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566005
6,0,566006
6,0,566006
6,0,566006
6,0,566006
1,1,566006
1,2,566006
1,1,566006
6,0,566006
1,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
1,3,566006
2,2,566006
2,2,566006
2,0,566006
2,2,566006
6,0,566006
2,3,566006
6,0,566006
1,3,566006
1,4,566006
2,2,566006
6,0,566006
2,1,566006
1,2,566006
6,0,566006
6,0,566006
1,5,566006
6,0,566006
6,0,566006
2,3,566006
6,0,566006
6,0,566006
6,0,566006
2,1,566006
6,0,566006
6,0,566006
1,0,566006
1,2,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
1,5,566006
6,0,566006
6,0,566006
2,1,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
1,3,566006
2,2,566006
6,0,566006
1,3,566006
6,0,566006
2,2,566006
6,0,566006
6,0,566006
2,2,566006
1,3,566006
6,0,566006
6,0,566006
6,0,566006
1,2,566006
2,2,566006
1,3,566006
1,5,566006
1,1,566006
6,0,566006
1,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
6,0,566006
2,1,566006
1,0,566007
6,0,566007
1,0,566007
6,0,566007
6,0,566007
6,0,566007
1,1,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
1,1,566007
6,0,566007
6,0,566007
1,4,566007
1,2,566007
6,0,566007
1,4,566007
6,0,566007
6,0,566007
1,4,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
1,2,566007
1,0,566007
6,0,566007
6,0,566007
6,0,566007
1,2,566007
1,2,566007
6,0,566007
1,2,566007
6,0,566007
6,0,566007
1,2,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
1,4,566007
6,0,566007
1,5,566007
6,0,566007
6,0,566007
6,0,566007
1,2,566007
1,1,566007
1,2,566007
6,0,566007
6,1,566007
6,0,566007
6,0,566007
6,0,566007
1,5,566007
1,0,566007
1,3,566007
1,3,566007
6,0,566007
6,0,566007
1,2,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566007
6,0,566009
6,0,566009
6,0,566009
6,0,566009
6,0,566009
1,2,566009
6,0,566009
1,3,566009
6,0,566009
1,5,566009
1,3,566009
6,0,566009
1,0,566009
1,4,566009
1,5,566009
1,2,566009
6,0,566009
6,0,566009
1,3,566009
6,0,566009
6,0,566009
1,3,566009
6,0,566009
6,0,566009
6,0,566009
6,0,566009
6,0,566009
1,7,566009
6,0,566009
6,0,566009
1,4,566009
6,0,566009
1,3,566009
1,2,566009
1,0,566009
1,5,566009
6,0,566009
6,0,566009
6,0,566009
1,5,566009
6,0,566009
6,0,566009
6,0,566009
1,1,566009
6,0,566009
1,2,566009
1,0,566009
6,0,566009
6,0,566009
6,0,566009
1,4,566009
1,2,566009
6,0,566009
6,7,566009
6,0,566009
1,0,566009
6,0,566009
1,1,566009
1,0,566009
1,0,566009
6,0,566009
1,0,566009
6,0,566009
6,0,566009
6,0,566009
1,6,566009
6,0,566009
6,0,566009
1,4,566009
1,1,566009
6,0,566009
1,6,566009
6,0,566009
6,0,566009
